-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::convolution         0.10%     160.614us         1.08%       1.705ms      28.412us       0.000us         0.00%     460.928us       7.682us           0 B           0 B      68.18 MB     -29.19 MB            60            --  
                                     aten::_convolution         0.20%     323.027us         0.97%       1.544ms      25.735us       0.000us         0.00%     460.928us       7.682us           0 B           0 B      97.38 MB     -36.73 MB            60            --  
                                              aten::cat         0.56%     889.820us         0.87%       1.384ms       6.592us     458.590us         2.31%     459.678us       2.189us           0 B           0 B     145.17 MB     145.17 MB           210            --  
                                    compute_group_stats         0.53%     836.353us         3.09%       4.891ms     978.283us       0.000us         0.00%     447.042us      89.408us           0 B           0 B     185.50 KB    -175.00 KB             5            --  
                                              aten::div         0.51%     812.687us         0.87%       1.372ms       5.081us     427.709us         2.15%     427.709us       1.584us          72 B          72 B     237.93 MB     237.93 MB           270            --  
                                      aten::masked_fill         0.33%     516.111us         2.08%       3.292ms      20.574us       0.000us         0.00%     415.624us       2.598us           0 B           0 B     152.38 MB           0 B           160            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     400.955us         2.02%     400.955us       0.922us           0 B           0 B           0 B           0 B           435            --  
                                            aten::zeros         0.35%     551.185us         2.03%       3.211ms       6.817us       0.000us         0.00%     393.537us       0.836us           0 B           0 B     469.49 MB           0 B           471            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     386.655us         1.94%     386.655us      12.888us           0 B           0 B           0 B           0 B            30            --  
                                    aten::_foreach_norm         0.68%       1.082ms         1.64%       2.598ms     103.938us     296.704us         1.49%     372.160us      14.886us           0 B           0 B     465.00 KB     450.00 KB            25            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     365.665us         1.84%     365.665us      18.283us           0 B           0 B           0 B           0 B            20            --  
autograd::engine::evaluate_function: torch::autograd...         0.16%     260.887us         2.06%       3.267ms      32.670us       0.000us         0.00%     358.904us       3.589us           0 B           0 B           0 B    -115.19 MB           100            --  
                            torch::autograd::CopySlices         0.26%     407.148us         1.90%       3.006ms      30.061us       0.000us         0.00%     358.904us       3.589us           0 B           0 B     115.19 MB     -30.54 MB           100            --  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     332.927us         1.67%     332.927us       4.162us           0 B           0 B           0 B           0 B            80            --  
                                           DivBackward0         0.11%     166.752us         0.76%       1.204ms      26.762us       0.000us         0.00%     329.530us       7.323us           0 B           0 B      92.81 MB    -148.77 MB            45            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     320.417us         1.61%     320.417us       1.282us           0 B           0 B           0 B           0 B           250            --  
                                    aten::_foreach_mul_         0.22%     348.774us         0.87%       1.374ms      54.976us     290.366us         1.46%     313.310us      12.532us           0 B           0 B           0 B           0 B            25            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     310.718us         1.56%     310.718us       1.942us           0 B           0 B           0 B           0 B           160            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     306.404us         1.54%     306.404us       1.802us           0 B           0 B           0 B           0 B           170            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     297.437us         1.50%     297.437us       1.652us           0 B           0 B           0 B           0 B           180            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.798us         1.48%     293.798us       0.979us           0 B           0 B           0 B           0 B           300            --  
                                              aten::add         0.45%     717.734us         0.71%       1.120ms       5.746us     272.541us         1.37%     272.541us       1.398us           0 B           0 B     105.85 MB     105.85 MB           195        25.904  
                                           MulBackward0         0.15%     231.410us         0.76%       1.203ms       8.021us       0.000us         0.00%     269.928us       1.800us           0 B           0 B     198.05 MB           0 B           150            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     269.857us         1.36%     269.857us      10.794us           0 B           0 B           0 B           0 B            25            --  
                                     aten::masked_fill_         0.31%     498.669us         0.65%       1.034ms       6.464us     261.704us         1.32%     261.704us       1.636us           0 B           0 B           0 B           0 B           160            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     261.704us         1.32%     261.704us       1.636us           0 B           0 B           0 B           0 B           160            --  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     256.611us         1.29%     256.611us       1.974us           0 B           0 B           0 B           0 B           130            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     251.999us         1.27%     251.999us      12.600us           0 B           0 B           0 B           0 B            20            --  
autograd::engine::evaluate_function: SoftmaxBackward...         0.12%     195.710us         0.91%       1.448ms      14.481us       0.000us         0.00%     230.431us       2.304us           0 B           0 B     -81.35 MB    -167.27 MB           100            --  
                                       SoftmaxBackward0         0.10%     153.336us         0.79%       1.252ms      12.524us       0.000us         0.00%     230.431us       2.304us           0 B           0 B      85.92 MB           0 B           100            --  
                           aten::_softmax_backward_data         0.25%     391.601us         0.69%       1.099ms      10.990us     117.053us         0.59%     230.431us       2.304us           0 B           0 B      85.92 MB       5.76 MB           100            --  
                                           aten::arange         0.35%     547.388us         1.28%       2.027ms       6.141us     113.126us         0.57%     226.252us       0.686us           0 B           0 B     240.00 KB           0 B           330            --  
autograd::engine::evaluate_function: MaskedFillBackw...         0.14%     214.608us         1.15%       1.821ms      22.759us       0.000us         0.00%     220.164us       2.752us           0 B           0 B      -3.96 MB     -81.35 MB            80            --  
                                    MaskedFillBackward0         0.05%      75.433us         1.01%       1.606ms      20.076us       0.000us         0.00%     220.164us       2.752us           0 B           0 B      77.38 MB           0 B            80            --  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.03%      42.411us         0.26%     409.037us      40.904us       0.000us         0.00%     213.697us      21.370us           0 B           0 B      -3.92 MB     -14.93 MB            10            --  
                                aten::_conv_depthwise2d         0.11%     182.205us         0.29%     451.754us       7.529us     210.176us         1.06%     210.176us       3.503us           0 B           0 B      68.18 MB           0 B            60            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     210.176us         1.06%     210.176us       3.503us           0 B           0 B           0 B           0 B            60            --  
                                     EmbeddingBackward0         0.01%      15.831us         0.21%     340.726us      34.073us       0.000us         0.00%     204.545us      20.455us           0 B           0 B       6.13 MB           0 B            10            --  
                               aten::embedding_backward         0.01%      12.310us         0.21%     324.895us      32.490us       0.000us         0.00%     204.545us      20.455us           0 B           0 B       6.13 MB           0 B            10            --  
                         aten::embedding_dense_backward         0.04%      57.645us         0.20%     312.585us      31.258us     174.464us         0.88%     204.545us      20.455us           0 B           0 B       6.13 MB     -10.04 MB            10            --  
      autograd::engine::evaluate_function: PowBackward0         0.10%     155.438us         0.87%       1.380ms      30.661us       0.000us         0.00%     201.087us       4.469us           0 B           0 B     -94.04 MB    -150.75 MB            45            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     185.341us         0.93%     185.341us       3.089us           0 B           0 B           0 B           0 B            60            --  
                                   aten::_foreach_lerp_         0.04%      58.781us         0.05%      86.501us       8.650us     183.008us         0.92%     183.008us      18.301us           0 B           0 B           0 B           0 B            10            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     183.008us         0.92%     183.008us      18.301us           0 B           0 B           0 B           0 B            10            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     182.977us         0.92%     182.977us       1.830us           0 B           0 B           0 B           0 B           100            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     180.926us         0.91%     180.926us       3.015us           0 B           0 B           0 B           0 B            60            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     179.259us         0.90%     179.259us       1.793us           0 B           0 B           0 B           0 B           100            --  
void at::native::(anonymous namespace)::embedding_ba...         0.00%       0.000us         0.00%       0.000us       0.000us     174.464us         0.88%     174.464us      17.446us           0 B           0 B           0 B           0 B            10            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     165.699us         0.83%     165.699us       0.526us           0 B           0 B           0 B           0 B           315            --  
                                   clip_grad_norm_fused         1.26%       2.003ms         4.26%       6.746ms       1.349ms       0.000us         0.00%     162.469us      32.494us           0 B           0 B           0 B    -167.50 KB             5            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 158.482ms
Self CUDA time total: 19.883ms
