-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     990.402us         2.25%     990.402us       1.238us           0 B           0 B           0 B           0 B           800            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     937.042us         2.13%     937.042us       0.829us           0 B           0 B           0 B           0 B          1130            --  
                                              aten::cat         0.56%       2.227ms         0.84%       3.343ms       7.959us     924.429us         2.10%     925.580us       2.204us           0 B           0 B     296.59 MB     296.59 MB           420            --  
      autograd::engine::evaluate_function: DivBackward0         0.12%     460.867us         1.05%       4.183ms      46.481us       0.000us         0.00%     924.403us      10.271us           0 B           0 B     -93.51 MB    -279.53 MB            90            --  
                                            aten::zero_         0.33%       1.326ms         1.55%       6.200ms       5.586us       0.000us         0.00%     921.042us       0.830us           0 B           0 B           0 B           0 B          1110            --  
                                           aten::conv1d         0.05%     202.778us         1.06%       4.215ms      35.125us       0.000us         0.00%     919.071us       7.659us           0 B           0 B     130.23 MB           0 B           120            --  
                                      aten::convolution         0.11%     432.944us         1.01%       4.012ms      33.435us       0.000us         0.00%     919.071us       7.659us           0 B           0 B     130.23 MB     -43.66 MB           120            --  
                                     aten::_convolution         0.20%     781.982us         0.90%       3.579ms      29.827us       0.000us         0.00%     919.071us       7.659us           0 B           0 B     173.89 MB    -103.97 MB           120            --  
                                              aten::div         0.52%       2.059ms         0.87%       3.486ms       6.456us     850.945us         1.93%     850.945us       1.576us         112 B         112 B     488.36 MB     488.36 MB           540            --  
                                      aten::masked_fill         0.32%       1.288ms         2.03%       8.098ms      25.305us       0.000us         0.00%     830.205us       2.594us           0 B           0 B     310.70 MB           0 B           320            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     802.621us         1.82%     802.621us       0.923us           0 B           0 B           0 B           0 B           870            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     774.912us         1.76%     774.912us      12.915us           0 B           0 B           0 B           0 B            60            --  
                                            aten::zeros         0.32%       1.278ms         1.95%       7.780ms       8.549us       0.000us         0.00%     762.706us       0.838us           0 B           0 B     951.46 MB           0 B           910            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     734.338us         1.67%     734.338us      18.358us           0 B           0 B           0 B           0 B            40            --  
autograd::engine::evaluate_function: torch::autograd...         0.18%     699.042us         1.93%       7.709ms      38.544us       0.000us         0.00%     717.920us       3.590us           0 B           0 B           0 B    -238.43 MB           200            --  
                            torch::autograd::CopySlices         0.27%       1.085ms         1.76%       7.010ms      35.049us       0.000us         0.00%     717.920us       3.590us           0 B           0 B     238.43 MB     -59.89 MB           200            --  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     674.170us         1.53%     674.170us       4.214us           0 B           0 B           0 B           0 B           160            --  
                                           DivBackward0         0.11%     451.636us         0.70%       2.803ms      31.141us       0.000us         0.00%     656.559us       7.295us           0 B           0 B     185.62 MB    -308.79 MB            90            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     647.127us         1.47%     647.127us       1.294us           0 B           0 B           0 B           0 B           500            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     627.496us         1.42%     627.496us       1.961us           0 B           0 B           0 B           0 B           320            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     611.997us         1.39%     611.997us       1.800us           0 B           0 B           0 B           0 B           340            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     590.851us         1.34%     590.851us       1.641us           0 B           0 B           0 B           0 B           360            --  
                                    aten::_foreach_mul_         0.20%     786.766us         0.51%       2.024ms      40.471us     565.118us         1.28%     588.062us      11.761us           0 B           0 B           0 B           0 B            50            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     585.178us         1.33%     585.178us       0.975us           0 B           0 B           0 B           0 B           600            --  
                                              aten::add         0.46%       1.816ms         0.73%       2.903ms       7.444us     547.427us         1.24%     547.427us       1.404us           0 B           0 B     205.45 MB     205.45 MB           390        51.807  
                                           MulBackward0         0.14%     565.192us         0.69%       2.748ms       9.161us       0.000us         0.00%     535.327us       1.784us           0 B           0 B     412.50 MB           0 B           300            --  
                                     aten::masked_fill_         0.31%       1.240ms         0.64%       2.571ms       8.035us     521.757us         1.18%     521.757us       1.630us           0 B           0 B           0 B           0 B           320            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     521.757us         1.18%     521.757us       1.630us           0 B           0 B           0 B           0 B           320            --  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     513.404us         1.17%     513.404us       1.975us           0 B           0 B           0 B           0 B           260            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     488.639us         1.11%     488.639us      12.216us           0 B           0 B           0 B           0 B            40            --  
autograd::engine::evaluate_function: SoftmaxBackward...         0.15%     580.524us         0.88%       3.502ms      17.510us       0.000us         0.00%     468.647us       2.343us           0 B           0 B    -164.80 MB    -339.38 MB           200            --  
                                       SoftmaxBackward0         0.10%     381.103us         0.73%       2.922ms      14.608us       0.000us         0.00%     468.647us       2.343us           0 B           0 B     174.57 MB           0 B           200            --  
                           aten::_softmax_backward_data         0.25%     992.339us         0.64%       2.540ms      12.702us     235.297us         0.53%     468.647us       2.343us           0 B           0 B     174.57 MB      14.26 MB           200            --  
                                           aten::arange         0.34%       1.357ms         1.21%       4.836ms       7.328us     227.480us         0.52%     454.960us       0.689us           0 B           0 B     480.00 KB         512 B           660            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     443.434us         1.01%     443.434us       0.498us           0 B           0 B           0 B           0 B           890            --  
autograd::engine::evaluate_function: MaskedFillBackw...         0.14%     573.798us         1.26%       5.021ms      31.378us       0.000us         0.00%     438.559us       2.741us           0 B           0 B      -4.73 MB    -165.43 MB           160            --  
                                    MaskedFillBackward0         0.05%     217.418us         1.11%       4.447ms      27.792us       0.000us         0.00%     438.559us       2.741us           0 B           0 B     160.70 MB           0 B           160            --  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.02%      91.742us         0.20%     816.240us      40.812us       0.000us         0.00%     427.201us      21.360us           0 B           0 B      -7.83 MB     -29.86 MB            20            --  
                                aten::_conv_depthwise2d         0.11%     439.196us         0.27%       1.079ms       8.988us     419.130us         0.95%     419.130us       3.493us           0 B           0 B     130.23 MB           0 B           120            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     419.130us         0.95%     419.130us       3.493us           0 B           0 B           0 B           0 B           120            --  
                                     EmbeddingBackward0         0.01%      33.051us         0.17%     672.455us      33.623us       0.000us         0.00%     409.313us      20.466us           0 B           0 B      12.27 MB           0 B            20            --  
                               aten::embedding_backward         0.01%      28.971us         0.16%     639.404us      31.970us       0.000us         0.00%     409.313us      20.466us           0 B           0 B      12.27 MB           0 B            20            --  
                         aten::embedding_dense_backward         0.03%     123.234us         0.15%     610.433us      30.522us     348.897us         0.79%     409.313us      20.466us           0 B           0 B      12.27 MB     -20.08 MB            20            --  
      autograd::engine::evaluate_function: PowBackward0         0.10%     389.917us         0.83%       3.312ms      36.798us       0.000us         0.00%     403.396us       4.482us           0 B           0 B    -188.09 MB    -308.89 MB            90            --  
                                   aten::_foreach_lerp_         0.04%     141.735us         0.05%     205.588us      10.279us     374.688us         0.85%     374.688us      18.734us           0 B           0 B           0 B           0 B            20            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     374.688us         0.85%     374.688us      18.734us           0 B           0 B           0 B           0 B            20            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     369.508us         0.84%     369.508us       3.079us           0 B           0 B           0 B           0 B           120            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     361.281us         0.82%     361.281us       3.011us           0 B           0 B           0 B           0 B           120            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     359.422us         0.82%     359.422us       1.797us           0 B           0 B           0 B           0 B           200            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     358.211us         0.81%     358.211us       1.791us           0 B           0 B           0 B           0 B           200            --  
void at::native::(anonymous namespace)::embedding_ba...         0.00%       0.000us         0.00%       0.000us       0.000us     348.897us         0.79%     348.897us      17.445us           0 B           0 B           0 B           0 B            20            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 398.947ms
Self CUDA time total: 44.039ms
