-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     469.925us         2.13%     469.925us       0.832us           0 B           0 B           0 B           0 B           565            --  
                                              aten::cat         0.57%       1.020ms         0.86%       1.543ms       7.347us     461.590us         2.10%     462.678us       2.203us           0 B           0 B     145.17 MB     145.17 MB           210            --  
                                            aten::zero_         0.30%     539.367us         1.39%       2.511ms       4.525us       0.000us         0.00%     462.405us       0.833us           0 B           0 B           0 B           0 B           555            --  
      autograd::engine::evaluate_function: DivBackward0         0.12%     210.511us         1.09%       1.963ms      43.629us       0.000us         0.00%     461.686us      10.260us           0 B           0 B     -43.63 MB    -136.64 MB            45            --  
                                           aten::conv1d         0.04%      79.471us         1.00%       1.810ms      30.175us       0.000us         0.00%     460.420us       7.674us           0 B           0 B      68.18 MB           0 B            60            --  
                                      aten::convolution         0.09%     171.325us         0.96%       1.731ms      28.850us       0.000us         0.00%     460.420us       7.674us           0 B           0 B      68.18 MB     -31.79 MB            60            --  
                                     aten::_convolution         0.19%     351.790us         0.86%       1.560ms      25.995us       0.000us         0.00%     460.420us       7.674us           0 B           0 B      99.98 MB     -34.12 MB            60            --  
                                              aten::div         0.50%     901.510us         0.83%       1.503ms       5.567us     426.592us         1.94%     426.592us       1.580us          48 B          48 B     237.93 MB     237.93 MB           270            --  
                                      aten::masked_fill         0.28%     508.920us         1.86%       3.358ms      20.988us       0.000us         0.00%     413.508us       2.584us           0 B           0 B     152.38 MB           0 B           160            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     401.509us         1.82%     401.509us       0.923us           0 B           0 B           0 B           0 B           435            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     387.488us         1.76%     387.488us      12.916us           0 B           0 B           0 B           0 B            30            --  
                                            aten::zeros         0.31%     555.568us         1.80%       3.249ms       7.141us       0.000us         0.00%     383.110us       0.842us           0 B           0 B     469.48 MB           0 B           455            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     366.143us         1.66%     366.143us      18.307us           0 B           0 B           0 B           0 B            20            --  
autograd::engine::evaluate_function: torch::autograd...         0.16%     296.960us         1.98%       3.568ms      35.685us       0.000us         0.00%     359.179us       3.592us           0 B           0 B           0 B    -118.09 MB           100            --  
                            torch::autograd::CopySlices         0.24%     440.826us         1.81%       3.272ms      32.715us       0.000us         0.00%     359.179us       3.592us           0 B           0 B     118.09 MB     -27.63 MB           100            --  
                                    aten::_foreach_mul_         0.20%     367.954us         0.77%       1.397ms      55.892us     313.825us         1.43%     336.673us      13.467us           0 B           0 B           0 B           0 B            25            --  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     332.674us         1.51%     332.674us       4.158us           0 B           0 B           0 B           0 B            80            --  
                                           DivBackward0         0.11%     196.044us         0.73%       1.322ms      29.380us       0.000us         0.00%     328.317us       7.296us           0 B           0 B      92.81 MB    -148.77 MB            45            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     318.073us         1.44%     318.073us       1.272us           0 B           0 B           0 B           0 B           250            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     312.983us         1.42%     312.983us       1.956us           0 B           0 B           0 B           0 B           160            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     305.793us         1.39%     305.793us       1.799us           0 B           0 B           0 B           0 B           170            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     296.290us         1.35%     296.290us       1.646us           0 B           0 B           0 B           0 B           180            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     292.739us         1.33%     292.739us       0.976us           0 B           0 B           0 B           0 B           300            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     275.745us         1.25%     275.745us      13.787us           0 B           0 B           0 B           0 B            20            --  
                                              aten::add         0.44%     802.133us         0.69%       1.251ms       6.416us     272.097us         1.24%     272.097us       1.395us           0 B           0 B     105.85 MB     105.85 MB           195        25.904  
                                           MulBackward0         0.13%     239.646us         0.73%       1.321ms       8.808us       0.000us         0.00%     268.644us       1.791us           0 B           0 B     198.05 MB           0 B           150            --  
                                     aten::masked_fill_         0.29%     514.234us         0.59%       1.065ms       6.658us     259.012us         1.18%     259.012us       1.619us           0 B           0 B           0 B           0 B           160            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     259.012us         1.18%     259.012us       1.619us           0 B           0 B           0 B           0 B           160            --  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     257.084us         1.17%     257.084us       1.978us           0 B           0 B           0 B           0 B           130            --  
autograd::engine::evaluate_function: SoftmaxBackward...         0.12%     224.558us         0.86%       1.556ms      15.564us       0.000us         0.00%     230.688us       2.307us           0 B           0 B     -81.35 MB    -167.27 MB           100            --  
                                       SoftmaxBackward0         0.09%     162.940us         0.74%       1.332ms      13.319us       0.000us         0.00%     230.688us       2.307us           0 B           0 B      85.92 MB           0 B           100            --  
                           aten::_softmax_backward_data         0.25%     442.462us         0.65%       1.169ms      11.689us     117.506us         0.53%     230.688us       2.307us           0 B           0 B      85.92 MB       5.76 MB           100            --  
                                           aten::arange         0.30%     534.226us         1.16%       2.086ms       6.322us     113.607us         0.52%     227.214us       0.689us           0 B           0 B     240.00 KB       1.00 KB           330            --  
autograd::engine::evaluate_function: MaskedFillBackw...         0.12%     223.697us         1.08%       1.940ms      24.256us       0.000us         0.00%     217.863us       2.723us           0 B           0 B      -3.96 MB     -81.35 MB            80            --  
                                    MaskedFillBackward0         0.04%      80.905us         0.95%       1.717ms      21.459us       0.000us         0.00%     217.863us       2.723us           0 B           0 B      77.38 MB           0 B            80            --  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.02%      35.720us         0.20%     353.733us      35.373us       0.000us         0.00%     213.985us      21.398us           0 B           0 B      -3.92 MB     -14.93 MB            10            --  
                                         clip_grad_norm         1.59%       2.872ms         4.74%       8.561ms       1.712ms       0.000us         0.00%     211.040us      42.208us           0 B           0 B           0 B    -160.00 KB             5            --  
                                aten::_conv_depthwise2d         0.09%     158.514us         0.24%     431.084us       7.185us     209.409us         0.95%     209.409us       3.490us           0 B           0 B      68.18 MB           0 B            60            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     209.409us         0.95%     209.409us       3.490us           0 B           0 B           0 B           0 B            60            --  
                                     EmbeddingBackward0         0.01%      14.701us         0.16%     293.642us      29.364us       0.000us         0.00%     205.442us      20.544us           0 B           0 B       6.13 MB           0 B            10            --  
                               aten::embedding_backward         0.01%      11.830us         0.15%     278.941us      27.894us       0.000us         0.00%     205.442us      20.544us           0 B           0 B       6.13 MB           0 B            10            --  
                         aten::embedding_dense_backward         0.03%      52.412us         0.15%     267.111us      26.711us     175.266us         0.80%     205.442us      20.544us           0 B           0 B       6.13 MB     -10.04 MB            10            --  
      autograd::engine::evaluate_function: PowBackward0         0.10%     187.851us         0.98%       1.773ms      39.396us       0.000us         0.00%     200.797us       4.462us           0 B           0 B     -94.04 MB    -144.06 MB            45            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     190.366us         0.86%     190.366us       0.428us           0 B           0 B           0 B           0 B           445            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     185.247us         0.84%     185.247us       3.087us           0 B           0 B           0 B           0 B            60            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     181.185us         0.82%     181.185us       3.020us           0 B           0 B           0 B           0 B            60            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     180.035us         0.82%     180.035us       1.800us           0 B           0 B           0 B           0 B           100            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     179.743us         0.82%     179.743us       1.797us           0 B           0 B           0 B           0 B           100            --  
                                   aten::_foreach_lerp_         0.04%      63.303us         0.05%      93.174us       9.317us     176.416us         0.80%     176.416us      17.642us           0 B           0 B           0 B           0 B            10            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     176.416us         0.80%     176.416us      17.642us           0 B           0 B           0 B           0 B            10            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 180.429ms
Self CUDA time total: 22.013ms
