-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::convolution         0.10%     163.749us         1.00%       1.587ms      26.448us       0.000us         0.00%     461.251us       7.688us           0 B           0 B      68.18 MB     -25.34 MB            60            --  
                                     aten::_convolution         0.18%     278.877us         0.89%       1.423ms      23.719us       0.000us         0.00%     461.251us       7.688us           0 B           0 B      93.52 MB     -40.58 MB            60            --  
                                              aten::cat         0.57%     905.920us         0.88%       1.396ms       6.647us     459.326us         2.31%     460.382us       2.192us           0 B           0 B     145.17 MB     145.17 MB           210            --  
                                    compute_group_stats         0.51%     817.556us         3.51%       5.575ms       1.115ms       0.000us         0.00%     454.724us      90.945us           0 B           0 B     185.50 KB    -175.00 KB             5            --  
                                              aten::div         0.53%     848.394us         0.88%       1.403ms       5.197us     426.719us         2.15%     426.719us       1.580us          80 B          80 B     237.93 MB     237.93 MB           270            --  
                                      aten::masked_fill         0.36%     568.749us         2.14%       3.410ms      21.313us       0.000us         0.00%     411.583us       2.572us           0 B           0 B     152.38 MB           0 B           160            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     401.241us         2.02%     401.241us       0.922us           0 B           0 B           0 B           0 B           435            --  
                                            aten::zeros         0.34%     539.258us         1.95%       3.098ms       6.577us       0.000us         0.00%     394.661us       0.838us           0 B           0 B     469.49 MB           0 B           471            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     388.578us         1.96%     388.578us      12.953us           0 B           0 B           0 B           0 B            30            --  
                                    aten::_foreach_norm         0.67%       1.068ms         2.01%       3.193ms     127.723us     293.504us         1.48%     371.426us      14.857us           0 B           0 B     465.00 KB     450.00 KB            25            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     367.616us         1.85%     367.616us      18.381us           0 B           0 B           0 B           0 B            20            --  
autograd::engine::evaluate_function: torch::autograd...         0.16%     254.389us         2.16%       3.432ms      34.317us       0.000us         0.00%     359.316us       3.593us           0 B           0 B           0 B    -119.85 MB           100            --  
                            torch::autograd::CopySlices         0.25%     391.663us         2.00%       3.177ms      31.773us       0.000us         0.00%     359.316us       3.593us           0 B           0 B     119.85 MB     -25.87 MB           100            --  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     331.936us         1.67%     331.936us       4.149us           0 B           0 B           0 B           0 B            80            --  
                                           DivBackward0         0.11%     172.122us         0.76%       1.204ms      26.748us       0.000us         0.00%     328.512us       7.300us           0 B           0 B      92.81 MB    -147.74 MB            45            --  
                                    aten::_foreach_mul_         0.19%     301.843us         0.83%       1.322ms      52.886us     298.560us         1.50%     321.504us      12.860us           0 B           0 B           0 B           0 B            25            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     319.617us         1.61%     319.617us       1.278us           0 B           0 B           0 B           0 B           250            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     311.359us         1.57%     311.359us       1.946us           0 B           0 B           0 B           0 B           160            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     305.221us         1.54%     305.221us       1.795us           0 B           0 B           0 B           0 B           170            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     296.317us         1.49%     296.317us       1.646us           0 B           0 B           0 B           0 B           180            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.377us         1.48%     293.377us       0.978us           0 B           0 B           0 B           0 B           300            --  
                                              aten::add         0.45%     714.817us         0.70%       1.120ms       5.742us     272.255us         1.37%     272.255us       1.396us           0 B           0 B     105.85 MB     105.85 MB           195        25.904  
                                           MulBackward0         0.13%     213.250us         0.73%       1.165ms       7.768us       0.000us         0.00%     268.738us       1.792us           0 B           0 B     198.05 MB           0 B           150            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     266.366us         1.34%     266.366us      10.655us           0 B           0 B           0 B           0 B            25            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     259.840us         1.31%     259.840us      12.992us           0 B           0 B           0 B           0 B            20            --  
                                     aten::masked_fill_         0.34%     534.470us         0.68%       1.084ms       6.775us     257.697us         1.30%     257.697us       1.611us           0 B           0 B           0 B           0 B           160            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     257.697us         1.30%     257.697us       1.611us           0 B           0 B           0 B           0 B           160            --  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     257.503us         1.30%     257.503us       1.981us           0 B           0 B           0 B           0 B           130            --  
autograd::engine::evaluate_function: SoftmaxBackward...         0.12%     196.598us         0.88%       1.398ms      13.980us       0.000us         0.00%     231.038us       2.310us           0 B           0 B     -81.35 MB    -167.27 MB           100            --  
                                       SoftmaxBackward0         0.09%     148.095us         0.76%       1.201ms      12.014us       0.000us         0.00%     231.038us       2.310us           0 B           0 B      85.92 MB           0 B           100            --  
                           aten::_softmax_backward_data         0.24%     386.001us         0.66%       1.053ms      10.533us     117.468us         0.59%     231.038us       2.310us           0 B           0 B      85.92 MB       5.76 MB           100            --  
                                           aten::arange         0.32%     508.218us         1.26%       2.001ms       6.065us     113.888us         0.57%     227.776us       0.690us           0 B           0 B     240.00 KB       1.00 KB           330            --  
autograd::engine::evaluate_function: MaskedFillBackw...         0.14%     215.157us         1.21%       1.921ms      24.012us       0.000us         0.00%     216.225us       2.703us           0 B           0 B      -3.96 MB     -81.35 MB            80            --  
                                    MaskedFillBackward0         0.05%      74.812us         1.07%       1.706ms      21.323us       0.000us         0.00%     216.225us       2.703us           0 B           0 B      77.38 MB           0 B            80            --  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.02%      33.810us         0.22%     356.244us      35.624us       0.000us         0.00%     214.113us      21.411us           0 B           0 B      -3.92 MB     -14.93 MB            10            --  
                                aten::_conv_depthwise2d         0.10%     159.787us         0.26%     418.073us       6.968us     210.147us         1.06%     210.147us       3.502us           0 B           0 B      68.18 MB           0 B            60            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     210.147us         1.06%     210.147us       3.502us           0 B           0 B           0 B           0 B            60            --  
                                     EmbeddingBackward0         0.01%      14.310us         0.19%     298.614us      29.861us       0.000us         0.00%     205.089us      20.509us           0 B           0 B       6.13 MB           0 B            10            --  
                               aten::embedding_backward         0.01%      12.760us         0.18%     284.304us      28.430us       0.000us         0.00%     205.089us      20.509us           0 B           0 B       6.13 MB           0 B            10            --  
                         aten::embedding_dense_backward         0.03%      53.825us         0.17%     271.544us      27.154us     174.786us         0.88%     205.089us      20.509us           0 B           0 B       6.13 MB     -10.04 MB            10            --  
      autograd::engine::evaluate_function: PowBackward0         0.10%     156.627us         0.87%       1.392ms      30.922us       0.000us         0.00%     201.090us       4.469us           0 B           0 B     -94.04 MB    -148.18 MB            45            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     185.469us         0.93%     185.469us       3.091us           0 B           0 B           0 B           0 B            60            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     183.872us         0.93%     183.872us       1.839us           0 B           0 B           0 B           0 B           100            --  
                                   aten::_foreach_lerp_         0.04%      57.072us         0.05%      84.343us       8.434us     183.519us         0.92%     183.519us      18.352us           0 B           0 B           0 B           0 B            10            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     183.519us         0.92%     183.519us      18.352us           0 B           0 B           0 B           0 B            10            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     181.601us         0.91%     181.601us       3.027us           0 B           0 B           0 B           0 B            60            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     180.351us         0.91%     180.351us       1.804us           0 B           0 B           0 B           0 B           100            --  
void at::native::(anonymous namespace)::embedding_ba...         0.00%       0.000us         0.00%       0.000us       0.000us     174.786us         0.88%     174.786us      17.479us           0 B           0 B           0 B           0 B            10            --  
                                          aten::softmax         0.07%     113.865us         0.45%     723.590us       7.236us       0.000us         0.00%     159.582us       1.596us           0 B           0 B      84.73 MB           0 B           100            --  
                                         aten::_softmax         0.24%     381.899us         0.38%     609.725us       6.097us     159.582us         0.80%     159.582us       1.596us           0 B           0 B      84.73 MB      84.73 MB           100            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 159.044ms
Self CUDA time total: 19.871ms
